dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000725,-0.750000,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,-0.000627,-0.750000,0.000753,0.004903,-3.029462,-315.203843,6.282350
0.020000,-0.000430,-0.750000,0.000949,0.009810,0.245346,163.740397,6.282611
0.020000,-0.000136,-0.750000,0.001244,0.014725,0.245732,0.019284,6.283004
0.020000,0.007111,-0.749999,0.008491,0.362362,17.381873,856.807029,0.000343
0.020000,0.020700,-0.749990,0.022079,0.679416,15.852708,-76.458240,0.000999
0.020000,0.037011,-0.749967,0.038391,0.815589,6.808626,-452.204090,0.001788
0.020000,0.056042,-0.749924,0.057422,0.951528,6.796979,-0.582329,0.002711
0.020000,0.077793,-0.749854,0.079172,1.087542,6.800703,0.186195,0.003769
0.020000,0.102264,-0.749747,0.103644,1.223583,6.802021,0.065881,0.004964
0.020000,0.129461,-0.749594,0.130841,1.359866,6.814150,0.606451,0.006296
0.020000,0.159380,-0.749383,0.160762,1.496013,6.807383,-0.338366,0.007767
0.020000,0.192025,-0.749103,0.193407,1.632280,6.813337,0.297716,0.009380
0.020000,0.227394,-0.748741,0.228778,1.768529,6.812450,-0.044326,0.011135
0.020000,0.265493,-0.748280,0.266880,1.905111,6.829081,0.831507,0.013036
0.020000,0.306321,-0.747706,0.307712,2.041579,6.823412,-0.283419,0.015084
0.020000,0.349877,-0.747001,0.351274,2.178133,6.827687,0.213719,0.017282
0.020000,0.396170,-0.746147,0.397574,2.314998,6.843241,0.777703,0.019633
0.020000,0.445194,-0.745123,0.446609,2.451748,6.837528,-0.285626,0.022140
0.020000,0.496953,-0.743908,0.498382,2.588650,6.845072,0.377181,0.024806
0.020000,0.551448,-0.742479,0.552897,2.725715,6.853287,0.410768,0.027634
0.020000,0.608684,-0.740811,0.610157,2.863018,6.865156,0.593462,0.030629
0.020000,0.668660,-0.738878,0.670163,3.000328,6.865493,0.016829,0.033793
0.020000,0.731376,-0.736654,0.732920,3.137806,6.873884,0.419563,0.037132
0.020000,0.796836,-0.734107,0.798429,3.275480,6.883708,0.491206,0.040649
0.020000,0.865044,-0.731206,0.866698,3.413462,6.899077,0.768449,0.044349
0.020000,0.935994,-0.727920,0.937725,3.551320,6.892928,-0.307438,0.048238
0.020000,1.009696,-0.724211,1.011519,3.689731,6.920528,1.379998,0.052320
0.020000,1.086145,-0.720044,1.088082,3.828149,6.920895,0.018323,0.056601
0.020000,1.165344,-0.715379,1.167418,3.966803,6.932692,0.589848,0.061088
0.020000,1.247293,-0.710173,1.249532,4.105688,6.944250,0.577919,0.065787
0.020000,1.331993,-0.704384,1.334430,4.244880,6.959640,0.769493,0.070703
0.020000,1.419445,-0.697965,1.422118,4.384393,6.975639,0.799967,0.075846
0.020000,1.509647,-0.690867,1.512599,4.524042,6.982429,0.339483,0.081221
0.020000,1.602599,-0.683039,1.605879,4.664022,6.999018,0.829454,0.086837
0.020000,1.698300,-0.674425,1.701967,4.804407,7.019255,1.011829,0.092703
0.020000,1.796749,-0.664969,1.800870,4.945136,7.036448,0.859682,0.098827
0.020000,1.897944,-0.654610,1.902593,5.086148,7.050584,0.706802,0.105219
0.020000,2.001876,-0.643284,2.007141,5.227389,7.062037,0.572629,0.111888
0.020000,2.108550,-0.630924,2.114528,5.369384,7.099778,1.887038,0.118845
0.020000,2.217954,-0.617458,2.224758,5.511496,7.105612,0.291733,0.126102
0.020000,2.330084,-0.602813,2.337841,5.654115,7.130945,1.266620,0.133669
0.020000,2.444932,-0.586909,2.453784,5.797182,7.153320,1.118752,0.141558
0.020000,2.562489,-0.569664,2.572599,5.940740,7.177931,1.230534,0.149784
0.020000,2.682745,-0.550989,2.694297,6.084899,7.207934,1.500160,0.158359
0.020000,2.805687,-0.530794,2.818887,6.229482,7.229136,1.060102,0.167297
0.020000,2.931300,-0.508980,2.946379,6.374627,7.257281,1.407273,0.176613
0.020000,3.059566,-0.485447,3.076787,6.520372,7.287242,1.498061,0.186323
0.020000,3.190465,-0.460087,3.210119,6.666642,7.313500,1.312890,0.196443
0.020000,3.323979,-0.432786,3.346396,6.813819,7.358816,2.265762,0.206990
0.020000,3.460076,-0.403427,3.485623,6.961368,7.377463,0.932356,0.217982
0.020000,3.598727,-0.371884,3.627817,7.109718,7.417494,2.001569,0.229436
0.020000,3.739900,-0.338027,3.772993,7.258781,7.453154,1.782994,0.241373
0.020000,3.883551,-0.301718,3.921163,7.408471,7.484525,1.568557,0.253811
0.020000,4.029643,-0.262813,4.072346,7.559178,7.535358,2.541624,0.266770
0.020000,4.178120,-0.221161,4.226555,7.710420,7.562086,1.336409,0.280272
0.020000,4.328926,-0.176605,4.383805,7.862511,7.604561,2.123778,0.294338
0.020000,4.481995,-0.128980,4.544112,8.015345,7.641678,1.855851,0.308987
0.020000,4.637259,-0.078115,4.707496,8.169194,7.692440,2.538110,0.324243
0.020000,4.794633,-0.023831,4.873968,8.323612,7.720890,1.422486,0.340126
0.020000,4.954025,0.034056,5.043546,8.478902,7.764499,2.180419,0.356658
0.020000,5.115332,0.095737,5.216244,8.634921,7.800992,1.824673,0.373857
0.020000,5.278442,0.161410,5.392079,8.791729,7.840376,1.969194,0.391745
0.020000,5.443226,0.231275,5.571062,8.949141,7.870605,1.511460,0.410339
0.020000,5.609543,0.305541,5.753207,9.107247,7.905304,1.734932,0.429655
0.020000,5.777237,0.384416,5.938524,9.265852,7.930241,1.246879,0.449709
0.020000,5.946133,0.468111,6.127020,9.424830,7.948930,0.934442,0.470510
0.020000,6.116044,0.556840,6.318704,9.584177,7.967326,0.919773,0.492068
0.020000,6.286763,0.650813,6.513578,9.743705,7.976403,0.453883,0.514386
0.020000,6.458064,0.750239,6.711642,9.903210,7.975266,-0.056880,0.537465
0.020000,6.629701,0.855318,6.912890,10.062413,7.960154,-0.755566,0.561299
0.020000,6.801414,0.966244,7.117317,10.221311,7.944899,-0.762776,0.585877
0.020000,6.972921,1.083201,7.324906,10.379468,7.907831,-1.853379,0.611180
0.020000,7.143923,1.206357,7.535641,10.536757,7.864437,-2.169700,0.637184
0.020000,7.314105,1.335864,7.749496,10.692750,7.799681,-3.237805,0.663857
0.020000,7.483139,1.471855,7.966442,10.847319,7.728429,-3.562586,0.691158
0.020000,7.650682,1.614437,8.186444,11.000056,7.636869,-4.578010,0.719041
0.020000,7.816385,1.763696,8.409458,11.150723,7.533350,-5.175970,0.747449
0.020000,7.979374,1.919179,8.634715,11.262833,5.605482,-96.393379,0.776226
0.020000,8.138101,2.079583,8.860377,11.283126,1.014653,-229.541475,0.805077
0.020000,8.291175,2.243436,9.084608,11.211555,-3.578534,-229.659330,0.833700
0.020000,8.437816,2.409625,9.306244,11.081807,-6.487421,-145.444354,0.861888
0.020000,8.577822,2.577517,9.524852,10.930376,-7.571561,-54.207002,0.889529
0.020000,8.711284,2.746766,9.740392,10.776986,-7.669478,-4.895840,0.916572
0.020000,8.838321,2.917034,9.952829,10.621866,-7.756032,-4.327717,0.942972
0.020000,8.959073,3.087999,10.162137,10.465424,-7.822084,-3.302611,0.968692
0.020000,9.073697,3.259353,10.368294,10.307849,-7.878730,-2.832311,0.993703
0.020000,9.182368,3.430803,10.571283,10.149443,-7.920323,-2.079616,1.017981
0.020000,9.285272,3.602077,10.771093,9.990506,-7.946835,-1.325617,1.041513
0.020000,9.382605,3.772918,10.967716,9.831135,-7.968574,-1.086960,1.064289
0.020000,9.474571,3.943091,11.161150,9.671699,-7.971794,-0.161005,1.086305
0.020000,9.561380,4.112378,11.351396,9.512307,-7.969592,0.110111,1.107562
0.020000,9.643242,4.280576,11.538458,9.353073,-7.961685,0.395368,1.128068
0.020000,9.720368,4.447505,11.722343,9.194271,-7.940110,1.078728,1.147830
0.020000,9.792970,4.612998,11.903061,9.035905,-7.918305,1.090263,1.166862
0.020000,9.861256,4.776905,12.080624,8.878117,-7.889388,1.445839,1.185178
0.020000,9.925429,4.939089,12.255042,8.720935,-7.859109,1.513971,1.202796
0.020000,9.985690,5.099429,12.426332,8.564510,-7.821234,1.893736,1.219733
0.020000,10.042233,5.257813,12.594507,8.408725,-7.789248,1.599326,1.236011
0.020000,10.095246,5.414144,12.759581,8.253721,-7.750198,1.952465,1.251649
0.020000,10.144912,5.568335,12.921574,8.099642,-7.703949,2.312445,1.266668
0.020000,10.191405,5.720306,13.080498,7.946172,-7.673527,1.521122,1.281090
0.020000,10.234894,5.869989,13.236370,7.793636,-7.626804,2.336138,1.294936
0.020000,10.275542,6.017322,13.389208,7.641886,-7.587493,1.965537,1.308227
0.020000,10.313501,6.162250,13.539024,7.490817,-7.553469,1.701214,1.320984
0.020000,10.348922,6.304726,13.685838,7.340654,-7.508119,2.267495,1.333227
0.020000,10.381945,6.444705,13.829659,7.191066,-7.479423,1.434808,1.344976
0.020000,10.412704,6.582152,13.970506,7.042357,-7.435425,2.199903,1.356251
0.020000,10.441329,6.717033,14.108390,6.894220,-7.406858,1.428355,1.367070
0.020000,10.467941,6.849319,14.243327,6.746852,-7.368403,1.922764,1.377452
0.020000,10.492656,6.978987,14.375329,6.600095,-7.337827,1.528795,1.387413
0.020000,10.515586,7.106014,14.504409,6.454003,-7.304621,1.660280,1.396970
0.020000,10.536836,7.230381,14.630579,6.308467,-7.276799,1.391097,1.406140
0.020000,10.556505,7.352073,14.753850,6.163562,-7.245251,1.577399,1.414937
0.020000,10.574688,7.471074,14.874232,6.019099,-7.223144,1.105378,1.423376
0.020000,10.591476,7.587375,14.991738,5.875323,-7.188812,1.716568,1.431472
0.020000,10.606954,7.700961,15.106374,5.731800,-7.176156,0.632842,1.439236
0.020000,10.621204,7.811828,15.218153,5.588951,-7.142431,1.686214,1.446682
0.020000,10.634302,7.919967,15.327082,5.446438,-7.125658,0.838656,1.453822
0.020000,10.646321,8.025371,15.433170,5.304367,-7.103540,1.105889,1.460667
0.020000,10.657332,8.128039,15.536426,5.162837,-7.076525,1.350760,1.467228
0.020000,10.667400,8.227964,15.636857,5.021552,-7.064220,0.615247,1.473515
0.020000,10.676588,8.325143,15.734470,4.880612,-7.046988,0.861626,1.479538
0.020000,10.684954,8.419575,15.829272,4.740127,-7.024280,1.135394,1.485306
0.020000,10.692556,8.511257,15.921269,4.599827,-7.015014,0.463291,1.490827
0.020000,10.699446,8.600189,16.010467,4.459922,-6.995227,0.989341,1.496111
0.020000,10.705675,8.686372,16.096875,4.320380,-6.977122,0.905261,1.501164
0.020000,10.711291,8.769804,16.180496,4.181048,-6.966568,0.527674,1.505995
0.020000,10.716339,8.850484,16.261333,4.041879,-6.958468,0.405017,1.510609
0.020000,10.720863,8.928415,16.339395,3.903101,-6.938888,0.978993,1.515014
0.020000,10.724902,9.003596,16.414685,3.764489,-6.930606,0.414110,1.519216
0.020000,10.728496,9.076027,16.487205,3.626017,-6.923608,0.349897,1.523220
0.020000,10.731681,9.145715,16.556966,3.488024,-6.899662,1.197293,1.527033
0.020000,10.734490,9.212653,16.623963,3.349845,-6.908908,-0.462267,1.530660
0.020000,10.736957,9.276849,16.688206,3.212144,-6.885081,1.191333,1.534104
0.020000,10.739113,9.338301,16.749696,3.074528,-6.880799,0.214092,1.537372
0.020000,10.740985,9.397013,16.808437,2.937051,-6.873862,0.346834,1.540467
0.020000,10.742601,9.452985,16.864432,2.799765,-6.864291,0.478585,1.543393
0.020000,10.743986,9.506220,16.917686,2.662668,-6.854862,0.471418,1.546154
0.020000,10.745165,9.556715,16.968195,2.525451,-6.860823,-0.298018,1.548754
0.020000,10.746160,9.604478,17.015968,2.388676,-6.838758,1.103219,1.551196
0.020000,10.746991,9.649509,17.061007,2.251926,-6.837484,0.063695,1.553483
0.020000,10.747678,9.691807,17.103310,2.115149,-6.838879,-0.069711,1.555618
0.020000,10.748239,9.731374,17.142882,1.978589,-6.827990,0.544422,1.557604
0.020000,10.748691,9.768212,17.179722,1.842004,-6.829252,-0.063088,1.559443
0.020000,10.749050,9.802323,17.213834,1.705639,-6.818264,0.549384,1.561137
0.020000,10.749328,9.833710,17.245223,1.569449,-6.809459,0.440241,1.562689
0.020000,10.749541,9.862369,17.273883,1.432989,-6.823038,-0.678918,1.564099
0.020000,10.749698,9.888306,17.299821,1.296882,-6.805320,0.885903,1.565371
0.020000,10.749811,9.911522,17.323036,1.160772,-6.805531,-0.010582,1.566506
0.020000,10.749888,9.932015,17.343530,1.024661,-6.805524,0.000377,1.567504
0.020000,10.749939,9.949787,17.361302,0.888599,-6.803101,0.121120,1.568368
0.020000,10.749970,9.964839,17.376354,0.752634,-6.798273,0.241414,1.569098
0.020000,10.749987,9.977173,17.388688,0.616708,-6.796262,0.100560,1.569694
0.020000,10.749996,9.986786,17.398301,0.480628,-6.804031,-0.388458,1.570159
0.020000,10.749999,9.993682,17.405197,0.344787,-6.792059,0.598629,1.570492
0.020000,10.750000,9.997860,17.409375,0.208929,-6.792886,-0.041367,1.570693
0.020000,10.750000,9.999635,17.411150,0.088738,-6.009537,39.167423,1.570779
0.020000,10.750000,10.000000,17.411515,0.018250,-3.524383,124.257733,1.570796
0.020000,10.750000,10.000000,17.411515,0.000000,-0.912522,130.593036,1.570796
